besoin,titre_besoin,rang,marque,produit,format,prix_constate_eur,statut_prix,fournisseur_canal
24,Hydrater en profondeur (règle des minutes),5,CeraVe,Huile lavante moussante (sur peau humide),473 ml,16.67,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
25,Réparer une barrière abîmée,1,La Roche-Posay,Cicaplast Baume B5+,100 ml,13.39,constaté le 14/09/2026 (fiche) — src-lrp-007,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
25,Réparer une barrière abîmée,2,CeraVe,Pommade réparatrice intensive,50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
25,Réparer une barrière abîmée,3,CeraVe,Crème hydratante (3 céramides),52 ml,15.35,vérifié le 14/09/2026 — kalista-parfums.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
25,Réparer une barrière abîmée,4,Torriden,Dive-In Crème apaisante HA,100 ml,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
25,Réparer une barrière abîmée,5,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
26,Apaiser une peau réactive,1,CeraVe,Crème lavante hydratante (sans parfum),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
26,Apaiser une peau réactive,2,La Roche-Posay,Cicaplast Baume B5+,100 ml,13.39,constaté le 14/09/2026 (fiche) — src-lrp-007,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
26,Apaiser une peau réactive,3,Torriden,Balanceful Gel centella,200 ml,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
26,Apaiser une peau réactive,4,SKIN1004,Madagascar Centella Ampoule,100 ml,21.9,vérifié le 15/09/2026 — pibukare.com (France),"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
26,Apaiser une peau réactive,5,CeraVe,Pommade réparatrice intensive,50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
27,"Rougeurs (azélaïque + SPF, jamais sur-exfolier)",1,The Ordinary,Acide azélaïque suspension 10 %,30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
27,"Rougeurs (azélaïque + SPF, jamais sur-exfolier)",2,The INKEY List,Sérum azélaïque 10 %,30 ml,18.4,constaté le 14/09/2026 (fiche) — src-inkey-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
27,"Rougeurs (azélaïque + SPF, jamais sur-exfolier)",3,CeraVe,Pommade réparatrice intensive,50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
27,"Rougeurs (azélaïque + SPF, jamais sur-exfolier)",4,La Roche-Posay,Cicaplast Baume B5+,100 ml,13.39,constaté le 14/09/2026 (fiche) — src-lrp-007,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
27,"Rougeurs (azélaïque + SPF, jamais sur-exfolier)",5,SKIN1004,Madagascar Centella Ampoule,100 ml,21.9,vérifié le 15/09/2026 — pibukare.com (France),"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
28,Réactions au parfum (« sans parfum » ≠ « sans allergène »),1,CeraVe,Crème lavante hydratante (sans parfum),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
28,Réactions au parfum (« sans parfum » ≠ « sans allergène »),2,CeraVe,Lotion hydratante (sans parfum),400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
28,Réactions au parfum (« sans parfum » ≠ « sans allergène »),3,CeraVe,Pommade réparatrice (sans parfum),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
28,Réactions au parfum (« sans parfum » ≠ « sans allergène »),4,Garnier,Eau micellaire sans parfum,400 ml,4.99,"vérifié le 15/09/2026 — foliecosmetic.com (Tout en 1, sans parfum)",Grande distribution (rayon beauté)
28,Réactions au parfum (« sans parfum » ≠ « sans allergène »),5,La Roche-Posay,Anthelios Fluide Invisible SPF50+ (sans parfum),40 ml,22.9,constaté le 14/09/2026 (fiche) — src-lrp-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
29,"Climat : eau calcaire, vent froid, hiver",1,CeraVe,"Huile lavante moussante (eau calcaire, peau sèche)",473 ml,16.67,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
29,"Climat : eau calcaire, vent froid, hiver",2,La Roche-Posay,Lipikar Baume AP+ (hiver),400 ml,17.9,"vérifié le 14/09/2026 — parashop.com (22,37 € prix normal)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
29,"Climat : eau calcaire, vent froid, hiver",3,CeraVe,Crème hydratante (3 céramides),52 ml,15.35,vérifié le 14/09/2026 — kalista-parfums.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
29,"Climat : eau calcaire, vent froid, hiver",4,Weleda,Lait corps nourrissant argousier,200 ml,15.0,constaté le 14/09/2026 (fiche) — src-weleda-002,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
29,"Climat : eau calcaire, vent froid, hiver",5,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
30,SPF 30–50 quotidien à fini invisible — le besoin n°1 peau mélaninée,1,Beauty of Joseon,Relief Sun SPF50+ PA++++,50 ml,12.25,"vérifié le 14/09/2026 — koreanskincare.com (14,40 € Lookfantastic FR)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
30,SPF 30–50 quotidien à fini invisible — le besoin n°1 peau mélaninée,2,La Roche-Posay,Anthelios XL teinté SPF50+ (voile minimal),50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
30,SPF 30–50 quotidien à fini invisible — le besoin n°1 peau mélaninée,3,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
30,SPF 30–50 quotidien à fini invisible — le besoin n°1 peau mélaninée,4,Round Lab,Birch Juice Sun Cream SPF50+ (fini lumineux),50 ml,17.59,vérifié le 14/09/2026 — koreanskincare.com,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
30,SPF 30–50 quotidien à fini invisible — le besoin n°1 peau mélaninée,5,La Roche-Posay,Anthelios Fluide Invisible SPF50+ (repère),40 ml,22.9,constaté le 14/09/2026 (fiche) — src-lrp-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
31,SPF en hiver / ciel couvert (UVA en permanence),1,La Roche-Posay,Anthelios XL teinté SPF50+,50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
31,SPF en hiver / ciel couvert (UVA en permanence),2,Beauty of Joseon,Relief Sun SPF50+,50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
31,SPF en hiver / ciel couvert (UVA en permanence),3,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
31,SPF en hiver / ciel couvert (UVA en permanence),4,Avène,Crème SPF50+ teintée,50 ml,12.25,"vérifié le 14/09/2026 — idealo.fr dès 12,25 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
31,SPF en hiver / ciel couvert (UVA en permanence),5,Isdin,Stick Invisible SPF50 (réapplication),20 g,14.99,constaté le 14/09/2026 (fiche) — src-isdin-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
32,SPF intégré 10–13 ≠ écran — débouché : un vrai SPF,1,Beauty of Joseon,Relief Sun SPF50+,50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
32,SPF intégré 10–13 ≠ écran — débouché : un vrai SPF,2,Round Lab,Birch Juice Sun Cream SPF50+,50 ml,17.59,vérifié le 14/09/2026 — koreanskincare.com,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
32,SPF intégré 10–13 ≠ écran — débouché : un vrai SPF,3,IN'OYA,SUN'OYA Fluide Solaire SPF50+,50 ml,18.9,constaté le 14/09/2026 (fiche) — src-inoya-001,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
32,SPF intégré 10–13 ≠ écran — débouché : un vrai SPF,4,Avène,Fluide solaire teinté SPF50+,50 ml,15.0,"vérifié le 14/09/2026 — idealo.fr dès 15,00 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
32,SPF intégré 10–13 ≠ écran — débouché : un vrai SPF,5,La Roche-Posay,Anthelios Fluide Invisible SPF50+,40 ml,22.9,constaté le 14/09/2026 (fiche) — src-lrp-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
33,"Quantité et réapplication (2 mg/cm², toutes les 2 h)",1,Isdin,Stick Invisible SPF50 (format réapplication),20 g,14.99,constaté le 14/09/2026 (fiche) — src-isdin-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
33,"Quantité et réapplication (2 mg/cm², toutes les 2 h)",2,La Roche-Posay,Anthelios Stick Lèvres SPF50+,"4,7 g",9.9,constaté le 14/09/2026 (fiche) — src-lrp-006,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
33,"Quantité et réapplication (2 mg/cm², toutes les 2 h)",3,Avène,Solaire Stick Lèvres SPF50+,3 g,6.59,constaté le 14/09/2026 (fiche) — src-avene-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
33,"Quantité et réapplication (2 mg/cm², toutes les 2 h)",4,SKIN1004,Silky Fit Sun Stick SPF50+ PA++++,20 g,,à vérifier — 23 $ skincupid.us,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
33,"Quantité et réapplication (2 mg/cm², toutes les 2 h)",5,Carmex,"Baume SPF15 (lèvres, réappli)","7,5 g",4.29,vérifié le 14/09/2026 — docmorris.fr,Grande distribution (rayon beauté)
34,"Rides et ridules (vitamine C matin, rétinol soir si barrière OK)",1,The Ordinary,Suspension vitamine C 23 % + HA 2 %,30 ml,8.2,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
34,"Rides et ridules (vitamine C matin, rétinol soir si barrière OK)",2,The INKEY List,"Sérum au rétinol (débutant, libération lente)",30 ml,12.99,"vérifié le 14/09/2026 — blissim.fr (16,10 € lookfantastic.fr)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
34,"Rides et ridules (vitamine C matin, rétinol soir si barrière OK)",3,CeraVe,Lotion hydratante (base quotidienne),400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
34,"Rides et ridules (vitamine C matin, rétinol soir si barrière OK)",4,La Roche-Posay,Hyalu B5 Sérum (repère haut de gamme),30 ml,31.99,constaté le 14/09/2026 (fiche) — src-lrp-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
34,"Rides et ridules (vitamine C matin, rétinol soir si barrière OK)",5,The Ordinary,Caffeine Solution 5 % + EGCG (contour),30 ml,8.85,"vérifié le 15/09/2026 — idealo.fr (redcare-pharmacie.fr 10,49 €)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
35,"Fermeté, élasticité (peptides)",1,The INKEY List,Bio-Active Ceramide (barrière = soutien fermeté),50 ml,16.38,vérifié le 14/09/2026 — lookfantastic.fr (−25 %),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
35,"Fermeté, élasticité (peptides)",2,CeraVe,Crème hydratante (3 céramides),52 ml,15.35,vérifié le 14/09/2026 — kalista-parfums.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
35,"Fermeté, élasticité (peptides)",3,The INKEY List,Sérum peptides,30 ml,13.95,vérifié le 15/09/2026 — flaconi.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
35,"Fermeté, élasticité (peptides)",4,Beauty of Joseon,Revive Eye Serum Ginseng + Retinal,30 ml,12.75,vérifié le 15/09/2026 — idealo.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
35,"Fermeté, élasticité (peptides)",5,CeraVe,Lotion hydratante,400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
36,"Vieillissement de la peau mélaninée (pigment d'abord, ride ensuite)",1,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
36,"Vieillissement de la peau mélaninée (pigment d'abord, ride ensuite)",2,The Ordinary,Suspension vitamine C 23 %,30 ml,8.2,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
36,"Vieillissement de la peau mélaninée (pigment d'abord, ride ensuite)",3,Beauty of Joseon,Relief Sun SPF50+ (le geste n°1),50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
36,"Vieillissement de la peau mélaninée (pigment d'abord, ride ensuite)",4,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
36,"Vieillissement de la peau mélaninée (pigment d'abord, ride ensuite)",5,La Roche-Posay,Anthelios Fluide Invisible SPF50+,40 ml,22.9,constaté le 14/09/2026 (fiche) — src-lrp-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
37,"Prévention active (C matin, dérivés vitamine A soir, SPF n°1)",1,The Ordinary,Suspension vitamine C 23 %,30 ml,8.2,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
37,"Prévention active (C matin, dérivés vitamine A soir, SPF n°1)",2,The INKEY List,Sérum au rétinol,30 ml,12.99,vérifié le 14/09/2026 — blissim.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
37,"Prévention active (C matin, dérivés vitamine A soir, SPF n°1)",3,Beauty of Joseon,Relief Sun SPF50+,50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
37,"Prévention active (C matin, dérivés vitamine A soir, SPF n°1)",4,The Ordinary,Solution salicylique 2 % (exfoliation cadencée),30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
37,"Prévention active (C matin, dérivés vitamine A soir, SPF n°1)",5,The Ordinary,Solution ascorbyl glucoside 12 % (C stable),30 ml,17.0,vérifié le 14/09/2026 — nocibe.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
38,"Cou et décolleté (mêmes produits que le visage, étendus)",1,CeraVe,Lotion hydratante (visage + corps),400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
38,"Cou et décolleté (mêmes produits que le visage, étendus)",2,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
38,"Cou et décolleté (mêmes produits que le visage, étendus)",3,Beauty of Joseon,Relief Sun SPF50+ (cou y compris),50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
38,"Cou et décolleté (mêmes produits que le visage, étendus)",4,La Roche-Posay,Anthelios XL teinté SPF50+,50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
38,"Cou et décolleté (mêmes produits que le visage, étendus)",5,Weleda,Lait corps nourrissant argousier,200 ml,15.0,constaté le 14/09/2026 (fiche) — src-weleda-002,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
39,Poils incarnés et irritation post-rasage,1,The Ordinary,Acide lactique 10 % + HA,30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
39,Poils incarnés et irritation post-rasage,2,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
39,Poils incarnés et irritation post-rasage,3,Yves Rocher,Gommage corps riche karité (cadencé),75 ml,5.99,vérifié le 14/09/2026 — popsamshop.fr,Grande distribution (rayon beauté)
39,Poils incarnés et irritation post-rasage,4,CeraVe,Pommade réparatrice intensive (post-rasage),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
39,Poils incarnés et irritation post-rasage,5,Eucerin,UreaRepair Plus émollient 10 % urée,400 ml,16.99,constaté le 14/09/2026 (fiche) — src-euc-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
40,"Peau « grain de poulet » (coudes, bras, fesses)",1,Eucerin,UreaRepair Plus 10 % urée,400 ml,16.99,constaté le 14/09/2026 (fiche) — src-euc-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
40,"Peau « grain de poulet » (coudes, bras, fesses)",2,The Ordinary,Acide lactique 10 % + HA (−66 % en 12 sem mesuré),30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
40,"Peau « grain de poulet » (coudes, bras, fesses)",3,La Roche-Posay,Lipikar Baume AP+,400 ml,17.9,vérifié le 14/09/2026 — parashop.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
40,"Peau « grain de poulet » (coudes, bras, fesses)",4,Yves Rocher,Gommage corps karité,75 ml,5.99,vérifié le 14/09/2026 — popsamshop.fr,Grande distribution (rayon beauté)
40,"Peau « grain de poulet » (coudes, bras, fesses)",5,CeraVe,Lavage SA corps (acide salicylique),473 ml,17.5,vérifié le 15/09/2026 — nocibe.fr (SA Body Wash 473 ml),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
41,"Corps sec et rêche (coudes, genoux, mollets)",1,CeraVe,Lotion hydratante,400 ml,10.95,"vérifié le 14/09/2026 — primor.eu (9,61 €)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
41,"Corps sec et rêche (coudes, genoux, mollets)",2,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
41,"Corps sec et rêche (coudes, genoux, mollets)",3,Cosmo Naturel,Lait corps karité bio,500 ml,9.67,constaté le 14/09/2026 (fiche) — src-cosmo-001,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
41,"Corps sec et rêche (coudes, genoux, mollets)",4,Weleda,Lait corps nourrissant argousier,200 ml,15.0,constaté le 14/09/2026 (fiche) — src-weleda-002,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
41,"Corps sec et rêche (coudes, genoux, mollets)",5,La Roche-Posay,Lipikar Baume AP+,400 ml,17.9,vérifié le 14/09/2026 — parashop.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
42,"Aisselles : transpiration, frottement, assombrissement",1,Sanoflore,Déodorant Coton 24 H (sans sels d'aluminium),50 ml,5.75,vérifié le 14/09/2026 — paramarket.com,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
42,"Aisselles : transpiration, frottement, assombrissement",2,Weleda,Déodorant solide 24 H Sensitive,50 g,11.5,constaté le 14/09/2026 (fiche) — src-weleda-001,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
42,"Aisselles : transpiration, frottement, assombrissement",3,Sanoflore,Déodorant Mentha 48 H,50 ml,5.75,vérifié le 14/09/2026 — paramarket.com,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
42,"Aisselles : transpiration, frottement, assombrissement",4,La Roche-Posay,Déodorant Sensitive 48 H,50 ml,11.84,vérifié le 15/09/2026 — kalista-parfums.com (format 150 ml — le 50 ml n'est pas listé),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
42,"Aisselles : transpiration, frottement, assombrissement",5,The Ordinary,"Acide lactique 10 % (usage ciblé, cadencé)",30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
43,"Lèvres : sécheresse, assombrissement par les habitudes",1,Carmex,Baume à lèvres Classic,"7,5 g",2.59,vérifié le 14/09/2026 — docmorris.fr,Grande distribution (rayon beauté)
43,"Lèvres : sécheresse, assombrissement par les habitudes",2,Carmex,Baume SPF15 (lèvres marquées),"7,5 g",4.29,vérifié le 14/09/2026 — docmorris.fr,Grande distribution (rayon beauté)
43,"Lèvres : sécheresse, assombrissement par les habitudes",3,Avène,Solaire Stick Lèvres SPF50+,3 g,6.59,constaté le 14/09/2026 (fiche) — src-avene-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
43,"Lèvres : sécheresse, assombrissement par les habitudes",4,CeraVe,Pommade réparatrice intensive (multi-usages lèvres),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
43,"Lèvres : sécheresse, assombrissement par les habitudes",5,La Roche-Posay,Anthelios Stick Lèvres SPF50+,"4,7 g",9.9,constaté le 14/09/2026 (fiche) — src-lrp-006,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
44,"Cuir chevelu (pellicules, irritation, démangeaisons)",1,Klorane,Shampoing antipelliculaire,200 ml,5.99,constaté le 14/09/2026 (fiche) — src-klorane-001,Grande distribution (rayon beauté)
44,"Cuir chevelu (pellicules, irritation, démangeaisons)",2,Ducray,Kelual DS shampoing antipelliculaire,100 ml,11.89,constaté le 14/09/2026 (fiche) — src-ducray-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
44,"Cuir chevelu (pellicules, irritation, démangeaisons)",3,Nizoral,Shampoing kétoconazole 1 %,100 ml,12.49,"vérifié le 14/09/2026 — farmaline.be (18,57 € prix normal)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
44,"Cuir chevelu (pellicules, irritation, démangeaisons)",4,La Roche-Posay,Kerium DS shampoing antipelliculaire,200 ml,14.99,"vérifié le 14/09/2026 — boticinal.com (15,80 € e-parapharmacie.fr)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
44,"Cuir chevelu (pellicules, irritation, démangeaisons)",5,Uriage,DS Hair shampoing traitant antipelliculaire (pellicules modérées),200 ml,8.99,vérifié le 15/09/2026 — boticinal.com (en stock),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
45,"Démaquiller sans frotter (huile, temps de pose)",1,Garnier,Eau micellaire 3-en-1,400 ml,6.99,"vérifié le 15/09/2026 — ohfeliz.fr (3-en-1, 400 ml)",Grande distribution (rayon beauté)
45,"Démaquiller sans frotter (huile, temps de pose)",2,CeraVe,Huile lavante moussante (double nettoyage),473 ml,16.67,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
45,"Démaquiller sans frotter (huile, temps de pose)",3,CeraVe,Crème lavante hydratante (2ᵉ temps doux),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
45,"Démaquiller sans frotter (huile, temps de pose)",4,Bioderma,Créaline Huile Micellaire (repère prix élevé),150 ml,24.15,constaté le 14/09/2026 (fiche) — src-bio-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
45,"Démaquiller sans frotter (huile, temps de pose)",5,Banila Co,Clean It Zero cleansing balm,100 ml,21.9,vérifié le 15/09/2026 — holyskin.fr,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
46,Maquillage non comédogène,1,essence,"I Love Flawless Skin (non pore-clogging, mat)",30 ml,7.5,vérifié le 14/09/2026 — notino.fr,Grande distribution (rayon beauté)
46,Maquillage non comédogène,2,Maybelline,Fit Me fond de teint matifiant,30 ml,9.39,vérifié le 14/09/2026 — cdiscount.com,Grande distribution (rayon beauté)
46,Maquillage non comédogène,3,CeraVe,Gel-crème matifiant (base sans excès),53 ml,13.63,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
46,Maquillage non comédogène,4,L'Oréal Paris,"Infallible 24H (gamme large, teintes profondes)",30 ml,7.5,vérifié le 15/09/2026 — idealo.fr (teintes profondes),Grande distribution (rayon beauté)
46,Maquillage non comédogène,5,NYX,Can't Stop Won't Stop foundation,30 ml,12.88,vérifié le 15/09/2026 — idealo.fr,Grande distribution (rayon beauté)
47,Trouver sa teinte de fond de teint en teint foncé,1,essence,I Love Flawless Skin (11 teintes : Dark Sand/Dark Porcelain/Deep),30 ml,7.5,vérifié le 14/09/2026 — notino.fr + essence.eu,Grande distribution (rayon beauté)
47,Trouver sa teinte de fond de teint en teint foncé,2,Maybelline,Fit Me (350 Caramel/352 Cacao/365 Expresso),30 ml,9.39,"vérifié le 14/09/2026 — cdiscount.com (12,40 € 365)",Grande distribution (rayon beauté)
47,Trouver sa teinte de fond de teint en teint foncé,3,L'Oréal Paris,True Match,30 ml,18.99,constaté le 14/09/2026 (fiche) — src-loreal-001,Grande distribution (rayon beauté)
47,Trouver sa teinte de fond de teint en teint foncé,4,Beauty of Joseon,Tinted Mineral Dayscreen SPF30 (15 teintes),40 ml,15.0,vérifié le 14/09/2026 — beautyofjoseon.com 20 $,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
47,Trouver sa teinte de fond de teint en teint foncé,5,L'Oréal Paris,Infallible 24H Fresh Wear (nuances profondes),30 ml,7.5,vérifié le 15/09/2026 — idealo.fr (teintes Expresso 380 / Ambre Profond 375),Grande distribution (rayon beauté)
48,Routine simple 3 gestes (nettoyer / hydrater / protéger),1,CeraVe,Crème lavante hydratante (nettoyer),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
48,Routine simple 3 gestes (nettoyer / hydrater / protéger),2,CeraVe,Lotion hydratante (hydrater),400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
48,Routine simple 3 gestes (nettoyer / hydrater / protéger),3,Beauty of Joseon,Relief Sun SPF50+ (protéger),50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
48,Routine simple 3 gestes (nettoyer / hydrater / protéger),4,Garnier,Eau micellaire (alternative nettoyage),400 ml,6.99,"vérifié le 15/09/2026 — ohfeliz.fr (3-en-1, 400 ml)",Grande distribution (rayon beauté)
48,Routine simple 3 gestes (nettoyer / hydrater / protéger),5,CeraVe,Crème lavante éco-recharge (le trio à ≈32 €),473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
